nombre,artistas,album,fecha_lanzamiento,popularidad,explicit,imagen_url,spotify_url,generos,contenido
I'm A Little Crazy,Morgan Wallen,I’m The Problem,2025-05-16,76,False,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/2zIl3eEUd51KdtqGyJw1sg,country,country Morgan Wallen I’m The Problem False
Too Sweet,Hozier,Unreal Unearth: Unaired,2024-08-19,87,False,https://i.scdn.co/image/ab67616d0000b273b07bd43d1bec442c7fcc4d1e,https://open.spotify.com/track/19XpFsce28aByvCC4g89tJ,, Hozier Unreal Unearth: Unaired False
Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),1977-02-04,90,False,https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz,"classic rock, yacht rock, soft rock","classic rock, yacht rock, soft rock Fleetwood Mac Rumours (Super Deluxe) False"
Dark Til Daylight,Morgan Wallen,I’m The Problem,2025-05-16,79,False,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/5t6VW9ocIgB84vD8uR5xXU,country,country Morgan Wallen I’m The Problem False
Revelation,Morgan Wallen,I’m The Problem,2025-05-16,78,False,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/4HWDNZ1i6gyzu9tUbNhC2C,country,country Morgan Wallen I’m The Problem False
Vita Fer,"Los Dareyes De La Sierra, Tito Double P",Redención,2025-05-08,80,True,https://i.scdn.co/image/ab67616d0000b273d64caf3104c5a901905d9b7e,https://open.spotify.com/track/3jS9G4KmuOwuawj3k4Smpc,"corrido, corridos bélicos, corridos tumbados, sierreño, electro corridos, dembow belico, banda, música mexicana","corrido, corridos bélicos, corridos tumbados, sierreño, electro corridos, dembow belico, banda, música mexicana Los Dareyes De La Sierra, Tito Double P Redención True"
TU SANCHO,Fuerza Regida,111XPANTIA,2025-05-02,85,True,https://i.scdn.co/image/ab67616d0000b2734f13783ebca8686ddc7992e7,https://open.spotify.com/track/6eLQXa6uk2EW8drsiKbABZ,"corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño, dembow belico","corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño, dembow belico Fuerza Regida 111XPANTIA True"
Triple Lavada,Esau Ortiz,Triple Lavada,2025-03-28,90,True,https://i.scdn.co/image/ab67616d0000b273c4bae404f4bbdd3272717a2b,https://open.spotify.com/track/6uroNiDEDd0xFLiri0aQNk,"electro corridos, dembow belico, corrido, corridos tumbados","electro corridos, dembow belico, corrido, corridos tumbados Esau Ortiz Triple Lavada True"
Amigos? No.,"Oscar Maydon, Neton Vega",Amigos? No.,2025-03-06,90,True,https://i.scdn.co/image/ab67616d0000b273f63a0f68467d1b4a35f51721,https://open.spotify.com/track/7hNgSEQ4Ho7kWBA2rKpDd9,"corridos tumbados, corrido, corridos bélicos, electro corridos, dembow belico, sad sierreño, banda","corridos tumbados, corrido, corridos bélicos, electro corridos, dembow belico, sad sierreño, banda Oscar Maydon, Neton Vega Amigos? No. True"
COMO CAPO,"Clave Especial, Fuerza Regida",MIJA NO TE ASUSTES,2025-02-20,87,True,https://i.scdn.co/image/ab67616d0000b27364decb1474ad644038e25d4e,https://open.spotify.com/track/4N1dogCaVWnGyFdPjdqNWF,"corrido, corridos tumbados, corridos bélicos, música mexicana","corrido, corridos tumbados, corridos bélicos, música mexicana Clave Especial, Fuerza Regida MIJA NO TE ASUSTES True"
Por Esos Ojos,Fuerza Regida,111XPANTIA,2025-05-02,83,True,https://i.scdn.co/image/ab67616d0000b2734f13783ebca8686ddc7992e7,https://open.spotify.com/track/77pDO4WZPIdkwFve0iHWnb,"corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño, dembow belico","corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño, dembow belico Fuerza Regida 111XPANTIA True"
TATTOO,Tito Double P,TATTOO,2025-02-27,91,True,https://i.scdn.co/image/ab67616d0000b2734555f9d48babadbd649ba713,https://open.spotify.com/track/3KgHiAVuP88QoQs9CO4z1P,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, música mexicana","corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, música mexicana Tito Double P TATTOO True"
TU TU TU,"Clave Especial, Edgardo Nuñez",MIJA NO TE ASUSTES,2025-02-20,86,True,https://i.scdn.co/image/ab67616d0000b27364decb1474ad644038e25d4e,https://open.spotify.com/track/0L5gbpFGU06vqSHacOxgka,"corrido, corridos tumbados, corridos bélicos, música mexicana","corrido, corridos tumbados, corridos bélicos, música mexicana Clave Especial, Edgardo Nuñez MIJA NO TE ASUSTES True"
